group,ret,mz,190524_Int_002,190524_Int_012,190524_Int_019
M51_R1015_1,16.9216664632161,51.02,0,0,224498.765625
M55_R826_3,13.762700398763,55.01,815310.6875,55645.6640625,56817.26171875
M55_R1211_4,20.1901306152344,55.035,332470.5625,0,83507.3671875
M55_R937_5,15.6146647135417,55.05,847581.0625,0,0
M55_R1517_6,25.278883333333,55.04,0,78571.75,0
M55_R1401_7,23.3583190917969,55.05,334849.8125,0,0
M55_R450_8,7.50717620849609,55.04,794176.3125,0,0
M56_R392_9,6.53145,56.04,0,173394.734375,0
M57_R1299_10,21.6507507324219,57.06,0,0,90316.6875
M57_R1401_11,23.3522013346354,57.06,0,0,98845.0390625
M59_R450_12,7.50717620849609,59.02,602363.9375,0,0
M59_R1518_13,25.3039,59.02,0,77536.578125,0
M59_R606_14,10.0938506917318,59.04,464086.5625,105619.46875,0
M59_R1402_15,23.3644775390625,59.02,88501.890625,0,0
M60_R1234_17,20.562316666667,60,0,12136.8349609375,0
M65_R476_18,7.9264,65.02,0,44480.47265625,0
M67_R950_19,15.8269622802734,66.99,0,0,57739.3359375
M69_R566_20,9.42769978841146,68.99,0,0,40578.203125
M69_R1189_21,19.8148022542318,69.05,208792.34375,76546.7109375,0
M69_R1496_22,24.9348327636719,69.06,225455.5625,0,0
M70_R1069_23,17.8215169270833,70.07,114325.53125,0,0
M70_R582_24,9.702933333333,70.06,0,13304.51953125,0
M71_R565_25,9.408933333333,71,0,49442.9375,0
M71_R426_26,7.094433333333,71.03,0,123056.8203125,0
M73_R988_27,16.4713278320314,73.04,1495319.375,1528195,0
M73_R1091_28,18.1758838053387,73.04,0,1796502,1397764.375
M73_R456_29,7.59800008138021,73.03,236953.625,0,0
M73_R583_30,9.70920003255208,73.08,0,0,2192191.5
M73_R1299_31,21.6445007324219,73.04,0,0,1353180.5
M73_R733_32,12.2114603678385,73.03,118150.3828125,0,0
M74_R936_33,15.6017751505532,74.02,0,1226143.5,1207974.875
M74_R1496_34,24.9411193847656,74.02,959227.75,0,0
M74_R1401_35,23.3522013346354,74.02,0,0,406525.125
M74_R790_36,13.1684336344401,74.02,0,0,672676.5625
M74_R1189_37,19.8116678873698,74.02,0,0,523230.59375
M74_R629_38,10.478616666667,74.02,0,160711.828125,0
M74_R1068_39,17.8067993164063,74.035,0,0,1276520.625
M74_R1299_40,21.6445,74.03,0,510267.65625,0
M74_R392_41,6.53144989013672,74.03,0,0,83658.4453125
M74_R565_42,9.41831656087223,74.03,0,263026,295803.8125
M74_R970_43,16.1710113525391,74.04,0,0,137755.703125
M75_R392_44,6.538818359375,75.01,299612.28125,0,0
M75_R1402_45,23.3644775390625,75.03,412886.90625,0,0
M75_R1299_46,21.6455586751302,75.03,388538.28125,0,0
M75_R791_47,13.1873779296875,75.04,548130,0,0
M75_R583_48,9.7092,75.06,0,192508.84375,0
M76_R1015_49,16.921666666667,76.03,0,91593.640625,0
M76_R628_50,10.4722137451172,76.03,31308.958984375,0,0
M77_R1015_51,16.9216665649416,77.03,0,1105808.625,1118936.625
M83_R1211_52,20.190116666667,83.05,0,69538.1796875,0
M83_R1069_53,17.8215169270833,83.07,403858.71875,0,0
M83_R1372_54,22.87055,83.03,0,35626.859375,0
M84_R937_55,15.6100840250651,84.05,139565.984375,0,0
M84_R791_56,13.1810526529948,84.05,141421.25,0,0
M86_R1234_57,20.5623168945313,86,0,0,14033.3837890625
M86_R769_58,12.8243835449219,86.02,0,0,38701.94921875
M87_R1401_59,23.352216666667,87.02,0,305191.375,0
M87_R936_60,15.6017669677734,87.02,0,0,815362.9375
M87_R790_61,13.168433333333,87.02,0,397571.15625,0
M87_R1299_62,21.6512793375651,87.025,1032380,343435.15625,0
M87_R1189_63,19.8179361979167,87.025,1029697.8125,0,364304.34375
M88_R1401_64,23.3583190917969,88.03,80779.2109375,0,0
M89_R581_65,9.690433333333,88.99,0,28266.03125,0
M89_R801_66,13.3560994466146,89.02,0,0,51455.14453125
M90_R1372_67,22.8643005371094,90.04,0,0,21722.099609375
M93_R1069_68,17.8215169270833,93.05,37095.3359375,0,0
M94_R1006_69,16.7716389973958,94.13,59085.7890625,0,0
M97_R980_70,16.333666666667,97.05,0,125610.46875,0
M97_R1069_71,17.8215169270833,97.07,337740.84375,0,0
M97_R1401_72,23.3522013346354,97.06,0,0,46601.671875
M97_R791_73,13.1810526529948,97.06,197429.453125,0,0
M98_R425_74,7.088183333333,98.03,0,14594.1630859375,0
M98_R937_75,15.6100840250651,98.06,122863.40625,0,0
M98_R1335_76,22.245016666667,98.03,0,61975.8046875,0
M99_R565_77,9.40893351236979,99.02,0,0,124352.6796875
M100_R1298_78,21.638233333333,100.01,0,45954.50390625,0
M100_R811_79,13.5124837239583,100.03,0,0,455291.21875
M101_R886_80,14.76355,101.02,0,78428.953125,0
M101_R1372_81,22.87055,101.04,0,91671.3828125,0
M101_R936_82,15.601783333333,101.03,0,81628.1328125,0
M102_R801_83,13.3560994466146,102.02,0,0,157558.90625
M102_R446_84,7.43848368326823,102.05,0,0,1390125.75
M103_R597_86,9.9468994140625,103.01,0,0,28473.77734375
M103_R1499_87,24.991125,103.035,0,449383.78125,0
M104_R1068_89,17.7974161783854,104.04,0,0,83681.703125
M105_R1015_90,16.9216664632161,105.02,0,0,2670929.75
M105_R884_91,14.732283333333,105.03,0,43588.91796875,0
M110_R571_92,9.52254435221354,110,62103.74609375,0,0
M111_R937_93,15.6100840250651,111.07,88654.6484375,0,0
M111_R1069_94,17.8099161783854,111.07,0,0,42831.66015625
M111_R1401_95,23.3583190917969,111.08,61104.02734375,0,0
M112_R785_96,13.087116666667,112.04,0,35240.84765625,0
M114_R811_97,13.512483333333,114.05,0,145617.90625,0
M116_R790_98,13.1653086344401,116.045,0,0,77238.5390625
M116_R429_99,7.144483333333,116.06,0,386920.9375,0
M117_R602_100,10.0378828491209,116.99,0,32074.728515625,0
M117_R1140_101,19.004716666667,117.01,0,147602.78125,0
M117_R933_102,15.5517282796222,117.05,0,1236773.875,1230356
M117_R789_103,13.155916666667,117.05,0,110805.3515625,0
M117_R389_104,6.48141632080078,117.04,0,0,310824.875
M118_R802_105,13.3623494466146,118.02,0,0,53592.8125
M118_R389_106,6.47515,118.05,0,34934.45703125,0
M119_R581_107,9.67791646321615,119,0,0,121090.234375
M119_R775_108,12.911966666667,119.01,0,58353.4296875,0
M119_R1006_109,16.7653366088867,119.02,937023.5,0,134101.984375
M129_R1069_111,17.8215169270833,129.07,389496.4375,0,0
M129_R649_112,10.8164,129.04,0,49007.703125,0
M129_R1450_113,24.1591674804688,129.03,0,0,127647.703125
M130_R565_114,9.42145,130.03,0,201938.640625,0
M131_R527_115,8.77714945475261,131.05,0,0,331500.1875
M132_R580_116,9.65915018717448,132.04,0,0,26842.9609375
M132_R1007_117,16.7779164632162,132.04,852916.6875,0,0
M133_R1165_118,19.4175659179688,133.01,0,0,92759.0234375
M133_R611_119,10.1908660888672,133.02,0,0,142750.8125
M134_R1110_120,18.504283333333,134,0,14357.068359375,0
M134_R392_121,6.53254801432292,134.02,263175.96875,0,0
M134_R970_122,16.1710113525391,134.04,0,0,65817.6953125
M135_R579_123,9.65290018717448,134.98,0,0,147003.65625
M137_R1234_124,20.562316666667,137.05,0,15435.35546875,0
M140_R786_125,13.093366666667,140.03,0,62509.53125,0
M141_R997_126,16.6151509602865,141.04,0,0,56324.95703125
M142_R1234_127,20.562316666667,142.05,0,255289.34375,0
M143_R1402_128,23.3644775390625,143.08,322932.5,0,0
M143_R629_129,10.4785013834635,143.09,864968.125,0,0
M144_R1496_130,24.9348327636719,144.09,31702.75,0,0
M145_R639_131,10.653766666667,145.06,0,50735.14453125,0
M145_R1068_132,17.803683333333,145.05,0,22028.52734375,0
M147_R618_133,10.3003247517904,147.04,0,1190067.75,1216680.875
M147_R1170_134,19.4989013671875,147.05,0,0,928914.4375
M147_R484_135,8.07028350830078,147.04,653328.375,0,0
M148_R788_136,13.134033203125,148.05,0,0,329635.125
M148_R1170_137,19.492633333333,148.05,0,144786.765625,0
M148_R404_138,6.73163299560547,148.05,0,0,542079.4375
M149_R1068_139,17.8036747558592,149.05,0,189932.3125,184219.109375
M149_R1002_140,16.6933949788411,149.065,663362.25,0,523244.875
M149_R452_141,7.5323166666665,149.025,0,111785.7734375,0
M149_R618_142,10.2971995035807,149.03,0,0,103445.0625
M155_R795_143,13.2497497558594,155.05,0,0,27057.39453125
M157_R826_144,13.768950398763,157.04,0,0,39944.67578125
M158_R1395_145,23.252133333333,158.05,0,30778.240234375,0
M160_R888_146,14.8073557535807,160.06,0,0,130567.796875
M160_R1170_147,19.4926350911458,160.02,0,0,25127.2578125
M164_R851_148,14.188066666667,164.03,0,53066.953125,0
M165_R583_149,9.7092,164.97,0,71335.28125,0
M167_R580_150,9.65915018717448,166.93,0,0,40912.828125
M169_R1170_151,19.4989013671875,169.04,0,0,23038.533203125
M170_R782_152,13.0308166503906,170.07,0,0,71634.96875
M171_R1170_153,19.492633333333,171.06,0,119106.0078125,0
M174_R567_154,9.44646606445312,174.03,0,0,21989.400390625
M174_R972_155,16.1960459391276,174.08,0,0,34863.1875
M177_R395_157,6.57837490437809,177.045,0,423196.5625,40370.984375
M179_R1454_158,24.2279846191406,179.05,0,0,14510.78515625
M179_R875_159,14.5759,179.06,0,258517.234375,0
M180_R835_160,13.9190846761068,179.98,0,0,101937.21875
M182_R582_161,9.702933333333,181.97,0,24166.720703125,0
M184_R392_162,6.53771667480469,184.02,0,0,259125.46875
M185_R824_163,13.737666666667,185.08,0,178377.625,0
M189_R564_164,9.40268351236979,189.07,0,0,1630528.5
M189_R1299_165,21.6507507324219,189.05,0,0,38939.90625
M190_R970_166,16.1710113525391,190.06,0,0,18338.701171875
M199_R936_167,15.601783333333,199.14,0,200540.0625,0
M200_R392_168,6.53144989013672,200.05,0,0,205301.1875
M201_R1372_169,22.8705505371094,201.06,0,0,12646.7705078125
M204_R929_170,15.489183333333,204.08,0,302808.28125,0
M205_R1068_171,17.797416666667,205.11,0,2099361.75,0
M206_R1111_172,18.510533333333,206.1,0,70115.234375,0
M207_R929_173,15.489183333333,207.08,0,87874.3125,0
M208_R582_175,9.696683333333,208.03,0,147798.34375,0
M209_R581_176,9.690433333333,209.02,0,113975.3671875,0
M210_R1475_177,24.578283333333,210.1,0,64105.7734375,0
M213_R937_178,15.6100840250651,213.18,147979.828125,0,0
M215_R1331_179,22.1887166341146,215.07,0,0,37319.00390625
M218_R1060_180,17.6660441080729,218.095,0,0,138341.96875
M218_R1165_181,19.4175659179688,218.1,0,0,132366.21875
M218_R768_182,12.805616666667,218.09,0,135764.59375,0
M219_R1127_183,18.785783333333,219.09,0,32584.5625,0
M220_R801_184,13.349833333333,220.09,0,802292.25,0
M221_R775_185,12.911966666667,221.08,0,109285.0703125,0
M225_R914_186,15.232716666667,225.07,0,46069.12109375,0
M227_R1475_187,24.584533333333,227.1,0,18651.91796875,0
M229_R826_188,13.76895,229.06,0,33201.58984375,0
M233_R550_189,9.17076822916667,233.09,55355.05078125,0,0
M245_R801_190,13.3560994466146,245.08,0,0,86672.6796875
M246_R998_191,16.6339172363281,246.09,0,0,159343.8125
M262_R1046_192,17.4408528645833,262.11,0,0,38456.453125
M268_R1234_193,20.568566666667,268.11,0,174322.859375,0
M281_R488_194,8.132833333333,281.04,0,290758.125,0
M291_R911_196,15.1889465332031,291.12,0,0,32842.1484375
M292_R678_197,11.291816666667,292.14,0,70961.78125,0
M297_R1034_198,17.2406921386719,297.12,0,0,295347.5625
M319_R1475_200,24.5782836914063,319.14,0,0,1331396.75
M321_R1068_201,17.797416666667,321.14,0,491755.4375,0
M327_R1005_202,16.7527842203776,327.39,0,0,20682.5546875
M366_R998_205,16.627666666667,366.15,0,47768.34375,0
M368_R1170_206,19.5051513671875,368.13,0,0,240535.296875
M422_R1068_210,17.7974161783854,422.194867264862,0,0,42856.40234375
M424_R1299_211,21.6445007324219,424.155593290488,0,0,289469.53125
M425_R1170_212,19.4926350911458,425.124444067713,0,0,32025.873046875
M428_R1105_213,18.41044921875,428.19492410941,0,0,11767.5263671875
M432_R1165_215,19.4238321940104,432.198846389679,0,0,59815.859375
M435_R1110_216,18.498033333333,435.158553296833,0,38450.1484375,0
M436_R1110_217,18.5042846679688,436.162207701633,0,0,23568.853515625
M456_R1170_222,19.4989,456.207803973727,0,2892984.75,0
M459_R1427_223,23.783833333333,459.304532142106,0,26425.173828125,0
M460_R1170_224,19.5051513671875,460.179284965847,0,0,45133.328125
M463_R1344_225,22.3951517740885,463.164615944122,0,0,11659.32421875
M510_R1475_227,24.5845336914063,510.25430825649,0,0,14139.1494140625
M536_R1444_230,24.059083333333,536.269461135497,0,10832.232421875,0
M539_R1475_231,24.5845336914063,539.271433231743,0,0,29306.224609375
